"Payment information was successfully saved","Payment information was successfully saved"
"Shipping method is not Frenet","Shipping method is not Frenet"
"Payment Information","Payment Information"
"PagBank Information","PagBank Information"
"Payment Information not filled by the Seller yet.","Payment Information not filled by the Seller yet."
"PagBank Account Information","PagBank Account Information"
"Authorize Sales","Authorize Sales"
"In order for us to send the money to your account, you need to authorize:","In order for us to send the money to your account, you need to authorize:"
"Or Enter Manually","Or Enter Manually"
"You can get your code from your PagBank account by <a href='%1'>clicking here</a>.","You can get your code from your PagBank account by <a href='%1'>clicking here</a>."
"Save Payment","Save Payment"
"Don't have an account yet?","Don't have an account yet?"
"We use PagBank solution for receiving your transactions.","We use PagBank solution for receiving your transactions."
"Discover the solutions that PagBank offers you:","Discover the solutions that PagBank offers you:"
"The receipt of your sales will be automatic.","The receipt of your sales will be automatic."
"You control your withdrawals directly in PagBank.","You control your withdrawals directly in PagBank."
"Create your Account","Create your Account"
"App for Webkul","App for Webkul"
"To capture your seller's data, you can request an oAuth permission. Configure the APP.","To capture your seller's data, you can request an oAuth permission. Configure the APP."
"App Client Id","App Client Id"
"App Redirect Uri","App Redirect Uri"
"App Client Id - Sandbox","App Client Id - Sandbox"
"App Redirect Uri - Sandbox","App Redirect Uri - Sandbox"
"Marketplace PagBank Profile","Marketplace PagBank Profile"
